,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Security Bank of Jones County,Gray,8486,State Bank and Trust Company,July 24 2009,24-Jul-09,20-Aug-12,2009-07-24-securitybankofjonescounty.svg
First BankAmericano,Elizabeth,34270,Crown Bank,July 31 2009,31-Jul-09,20-Aug-12,2009-07-31-banco-americano.svg
Peoples Community Bank,West Chester,32288,"First Financial Bank, N.A.",July 31 2009,31-Jul-09,20-Aug-12,2010-09-17-peoplesbank_ga.svg
Mutual Bank,Harvey,18659,United Central Bank,July 31 2009,31-Jul-09,20-Aug-12,2009-07-31-MutualBank.svg
Integrity Bank,Jupiter,57604,Stonegate Bank,July 31 2009,31-Jul-09,20-Aug-12,2009-07-31-integritybank.svg
First State Bank of Altus,Altus,9873,Herring Bank,July 31 2009,31-Jul-09,20-Aug-12,2009-07-31-FirstStateBankofAltus.svg
Community National Bank of Sarasota County,Venice,27183,"Stearns Bank, N.A.",August 7 2009,7-Aug-09,20-Aug-12,2009-08-07-CNBofSarasotaCounty.svg
Community First Bank,Prineville,23268,Home Federal Bank,August 7 2009,7-Aug-09,15-Jan-13,2009-08-07-CommunityFirstBankOR.svg
First State Bank,Sarasota,27364,"Stearns Bank, N.A.",August 7 2009,7-Aug-09,20-Aug-12,2009-08-07-FirstStateBankSarasota.svg
Community Bank of Nevada,Las Vegas,34043,No Acquirer,August 14 2009,14-Aug-09,21-Aug-12,2009-08-14-communitybankofNV.svg
Community Bank of Arizona,Phoenix,57645,MidFirst Bank,August 14 2009,14-Aug-09,21-Aug-12,2009-08-14-communitybankofAZ.svg
Colonial Bank,Montgomery,9609,"Branch Banking & Trust Company, (BB&T)",August 14 2009,14-Aug-09,12-Jun-14,2009-08-14-ColonialBank.svg
"Union Bank, National Association",Gilbert,34485,MidFirst Bank,August 14 2009,14-Aug-09,21-Aug-12,2009-08-14-UnionBank.svg
Dwelling House Savings and Loan Association,Pittsburgh,31559,"PNC Bank, N.A.",August 14 2009,14-Aug-09,15-Jan-13,2009-08-14-DwellingHouseSavingsandLoanAssociation.svg
Guaranty Bank,Austin,32618,BBVA Compass,August 21 2009,21-Aug-09,21-Aug-12,2009-08-21-Guaranty.svg
CapitalSouth Bank,Birmingham,22130,IBERIABANK,August 21 2009,21-Aug-09,15-Jan-13,2009-08-21-CapitalSouth.svg
First Coweta Bank,Newnan,57702,United Bank,August 21 2009,21-Aug-09,15-Jan-13,2009-08-21-firstcowetabank.svg
ebank,Atlanta,34682,"Stearns Bank, N.A.",August 21 2009,21-Aug-09,21-Aug-12,2009-08-21-ebank.svg
Affinity Bank,Ventura,27197,Pacific Western Bank,August 28 2009,28-Aug-09,21-Aug-12,2009-08-28-affinitybank.svg
Bradford Bank,Baltimore,28312,Manufacturers and Traders Trust Company (M&T Bank),August 28 2009,28-Aug-09,15-Jan-13,2009-08-28-bradfordbank.svg
Mainstreet Bank,Forest Lake,1909,Central Bank,August 28 2009,28-Aug-09,21-Aug-12,2009-08-28-MainstreetBank.svg
InBank,Oak Forest,20203,"MB Financial Bank, N.A.",September 4 2009,4-Sep-09,21-Aug-12,2009-09-04-InBank.svg
First Bank of Kansas City,Kansas City,25231,Great American Bank,September 4 2009,4-Sep-09,21-Aug-12,2009-09-04-First%20Bank%20of%20Kansas%20City-nologo.svg
Vantus Bank,Sioux City,27732,Great Southern Bank,September 4 2009,4-Sep-09,21-Aug-12,2009-09-04-vantus-bank.svg
First State Bank,Flagstaff,34875,Sunwest Bank,September 4 2009,4-Sep-09,15-Jan-13,2009-09-04FirstStateBankFlagstaff.svg
Platinum Community Bank,Rolling Meadows,35030,No Acquirer,September 4 2009,4-Sep-09,21-Aug-12,2009-09-04-platinumcommunitybank.svg
Brickwell Community Bank,Woodbury,57736,CorTrust Bank N.A.,September 11 2009,11-Sep-09,15-Jan-13,2009-09-11-BrickwellBank.svg
"Corus Bank, N.A.",Chicago,13693,"MB Financial Bank, N.A.",September 11 2009,11-Sep-09,21-Aug-12,2009-09-11-corusbank.svg
Venture Bank,Lacey,22868,First-Citizens Bank & Trust Company,September 11 2009,11-Sep-09,21-Aug-12,2009-09-11-VentureBank.svg
"Irwin Union Bank, F.S.B.",Louisville,57068,"First Financial Bank, N.A.",September 18 2009,18-Sep-09,5-Sep-12,2009-09-18-IrwinUnionBank.svg
Irwin Union Bank and Trust Company,Columbus,10100,"First Financial Bank, N.A.",September 18 2009,18-Sep-09,21-Aug-12,2009-09-18-IrwinUnionBank.svg
Georgian Bank,Atlanta,57151,"First Citizens Bank and Trust Company, Inc.",September 25 2009,25-Sep-09,21-Aug-12,2009-09-25GeorgianBank.svg
Southern Colorado National Bank,Pueblo,57263,Legacy Bank,October 2 2009,2-Oct-09,5-Sep-12,2009-10-02-SouthernColoradoNationalBank.svg
Jennings State Bank,Spring Grove,11416,Central Bank,October 2 2009,2-Oct-09,21-Aug-12,2009-10-02-JenningsStateBank.svg
Warren Bank,Warren,34824,The Huntington National Bank,October 2 2009,2-Oct-09,21-Aug-12,2009-08-02-warren-nologo.svg
San Joaquin Bank,Bakersfield,23266,Citizens Business Bank,October 16 2009,16-Oct-09,22-Aug-12,2009-10-16-SanJoaquinBank.svg
First DuPage Bank,Westmont,35038,First Midwest Bank,October 23 2009,23-Oct-09,22-Aug-12,2009-10-23-first-dupage-bank.svg
Riverview Community Bank,Otsego,57525,Central Bank,October 23 2009,23-Oct-09,22-Aug-12,2009-10-23-Riverview%20Community%20Bank.svg
Bank of Elmwood,Racine,18321,Tri City National Bank,October 23 2009,23-Oct-09,22-Aug-12,2009-10-23-bank%20of%20elmwood.svg
Flagship National Bank,Bradenton,35044,First Federal Bank of Florida,October 23 2009,23-Oct-09,22-Aug-12,2009-10-23-flagship%20national%20bank.svg
Hillcrest Bank Florida,Naples,58336,Stonegate Bank,October 23 2009,23-Oct-09,22-Aug-12,2009-10-23-Hillcrest%20Bank.svg
American United Bank,Lawrenceville,57794,Ameris Bank,October 23 2009,23-Oct-09,5-Sep-12,2009-10-23-American%20United%20Bank.svg
Partners Bank,Naples,57959,Stonegate Bank,October 23 2009,23-Oct-09,15-Jan-13,2009-10-23-Partners%20bank1.svg
Citizens National Bank,Teague,25222,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-citizensnationalbankteague.svg
North Houston Bank,Houston,18776,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-NorthHoustonBank.svg
Madisonville State Bank,Madisonville,33782,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-madisonvillestate%20bank.svg
Park National Bank,Chicago,11677,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-park%20national%20bank%20logo%20[converted].svg
Pacific National Bank,San Francisco,30006,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-pacificNationalBank.svg
California National Bank,Los Angeles,34659,U.S. Bank N.A.,October 30 2009,30-Oct-09,5-Sep-12,2009-10-30-CalNationalBank-color.svg
San Diego National Bank,San Diego,23594,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-sandiegonationalbank.svg
Community Bank of Lemont,Lemont,35291,U.S. Bank N.A.,October 30 2009,30-Oct-09,15-Jan-13,2009-10-30-communityBank%20of%20Lemont.svg
"Bank USA, N.A.",Phoenix,32218,U.S. Bank N.A.,October 30 2009,30-Oct-09,22-Aug-12,2009-10-30-BankUSA.svg
Home Federal Savings Bank,Detroit,30329,Liberty Bank and Trust Company,November 6 2009,6-Nov-09,22-Aug-12,2009-11-06-HomeFederalSavings.svg
United Commercial Bank,San Francisco,32469,East West Bank,November 6 2009,6-Nov-09,5-Nov-12,2009-11-06-UnitedCommercialBank.svg
Gateway Bank of St. Louis,St. Louis,19450,Central Bank of Kansas City,November 6 2009,6-Nov-09,22-Aug-12,2009-11-06-Gatewaybank.svg
Prosperan Bank,Oakdale,35074,"Alerus Financial, N.A.",November 6 2009,6-Nov-09,22-Aug-12,2009-11-06-prosperanbank.svg
United Security Bank,Sparta,22286,Ameris Bank,November 6 2009,6-Nov-09,21-Mar-14,2009-11-06-UnitedSecurityBank.svg
Pacific Coast National Bank,San Clemente,57914,Sunwest Bank,November 13 2009,13-Nov-09,22-Aug-12,2009-11-13-pacificcoastnationalbank.svg
Orion Bank,Naples,22427,IBERIABANK,November 13 2009,13-Nov-09,21-Mar-14,2009-11-13-logoorionbank.svg
"Century Bank, F.S.B.",Sarasota,32267,IBERIABANK,November 13 2009,13-Nov-09,21-Mar-14,2009-11-13-logo-centuryfsb.svg
Commerce Bank of Southwest Florida,Fort Myers,58016,Central Bank,November 20 2009,20-Nov-09,21-Mar-14,2009-11-20-commerce%20bank%20of%20southwest%20florida.svg
Greater Atlantic Bank,Reston,32583,Sonabank,December 4 2009,4-Dec-09,21-Mar-14,2009-12-04-Greater%20Atlantic%20Bank.svg
Benchmark Bank,Aurora,10440,"MB Financial Bank, N.A.",December 4 2009,4-Dec-09,23-Aug-12,2009-12-04-Benchmark%20Bank.svg
AmTrust Bank,Cleveland,29776,New York Community Bank,December 4 2009,4-Dec-09,21-Mar-14,2009-12-04-amtrust%20bank.svg
The Tattnall Bank,Reidsville,12080,Heritage Bank of the South,December 4 2009,4-Dec-09,21-Mar-14,2009-12-04-tattnall-bank.svg
First Security National Bank,Norcross,26290,State Bank and Trust Company,December 4 2009,4-Dec-09,21-Mar-14,2009-12-04-first%20security%20national%20bank.svg
The Buckhead Community Bank,Atlanta,34663,State Bank and Trust Company,December 4 2009,4-Dec-09,21-Mar-14,2009-12-04-the%20buckhead%20community%20bank.svg
SolutionsBank,Overland Park,4731,Arvest Bank,December 11 2009,11-Dec-09,23-Aug-12,2009-12-11-solutionsbank.svg
"Valley Capital Bank, N.A.",Mesa,58399,Enterprise Bank & Trust,December 11 2009,11-Dec-09,23-Aug-12,2009-12-11-ValleyCapitalBank.svg
"Republic Federal Bank, N.A.",Miami,22846,1st United Bank,December 11 2009,11-Dec-09,21-Mar-14,2009-12-11-RepublicFederal.svg
"First Federal Bank of California, F.S.B.",Santa Monica,28536,"OneWest Bank, FSB",December 18 2009,18-Dec-09,23-Aug-12,2009-12-18-firstfederal.svg
Imperial Capital Bank,La Jolla,26348,City National Bank,December 18 2009,18-Dec-09,5-Sep-12,2009-12-18-imperal.svg
Independent Bankers' Bank,Springfield,26820,The Independent BankersBank (TIB),December 18 2009,18-Dec-09,23-Aug-12,2009-12-18-Independent%20Bankers%20Bank.svg
New South Federal Savings Bank,Irondale,32276,Beal Bank,December 18 2009,18-Dec-09,23-Aug-12,2009-12-18-southfedlogo.svg
Citizens State Bank,New Baltimore,1006,No Acquirer,December 18 2009,18-Dec-09,21-Mar-14,2009-12-18-CitizensStateBnak.svg
Peoples First Community Bank,Panama City,32167,Hancock Bank,December 18 2009,18-Dec-09,5-Nov-12,2009-12-18-peoples_first_community_bank.svg
RockBridge Commercial Bank,Atlanta,58315,No Acquirer,December 18 2009,18-Dec-09,21-Mar-14,2009-12-18-RockBridgeCommercialBank.svg
Horizon Bank,Bellingham,22977,Washington Federal Savings and Loan Association,January 8 2010,8-Jan-10,23-Aug-12,2010-01-08-horizon_bank.svg
Barnes Banking Company,Kaysville,1252,No Acquirer,January 15 2010,15-Jan-10,23-Aug-12,2010-01-15-BarnesBankingCo.svg
St. Stephen State Bank,St. Stephen,17522,First State Bank of St. Joseph,January 15 2010,15-Jan-10,23-Aug-12,2010-01-15-St.stephenStateBank.svg
Town Community Bank & Trust,Antioch,34705,First American Bank,January 15 2010,15-Jan-10,23-Aug-12,2010-06-15-TownCommunityBank2.svg
Evergreen Bank,Seattle,20501,Umpqua Bank,January 22 2010,22-Jan-10,15-Jan-13,2010-01-22-evergreenbank.svg
Premier American Bank,Miami,57147,"Premier American Bank, N.A.",January 22 2010,22-Jan-10,21-Mar-14,2003-10-19-PremierAmericanBank.svg
Columbia River Bank,The Dalles,22469,Columbia State Bank,January 22 2010,22-Jan-10,14-Sep-12,2010-01-22-columbia.svg
Charter Bank,Santa Fe,32498,Charter Bank,January 22 2010,22-Jan-10,23-Aug-12,2010-01-22-charter_bank.svg
Bank of Leeton,Leeton,8265,"Sunflower Bank, N.A.",January 22 2010,22-Jan-10,15-Jan-13,2010-01-22-bank_of_leeton.svg
American Marine Bank,Bainbridge Island,16730,Columbia State Bank,January 29 2010,29-Jan-10,24-Aug-12,2010-01-29-american_marine_bank.svg
First Regional Bank,Los Angeles,23011,First-Citizens Bank & Trust Company,January 29 2010,29-Jan-10,24-Aug-12,2010-01-29-First_Regional_Bank-logo.svg
Community Bank and Trust,Cornelia,5702,SCBT National Association,January 29 2010,29-Jan-10,21-Mar-14,2010-01-29-Community%20Bank&%20Trust.svg
"Marshall Bank, N.A.",Hallock,16133,United Valley Bank,January 29 2010,29-Jan-10,23-Aug-12,2010-01-29-marshall_bank.svg
Florida Community Bank,Immokalee,5672,"Premier American Bank, N.A.",January 29 2010,29-Jan-10,21-Mar-14,2010-01-29-logo-floridacommunity.svg
First National Bank of Georgia,Carrollton,16480,Community & Southern Bank,January 29 2010,29-Jan-10,21-Mar-14,2010-01-29-first_national_bank_of_georgia.svg
1st American State Bank of Minnesota,Hancock,15448,"Community Development Bank, FSB",February 5 2010,5-Feb-10,1-Nov-13,2010-02-05-logo-1stamerican.svg
"La Jolla Bank, FSB",La Jolla,32423,"OneWest Bank, FSB",February 19 2010,19-Feb-10,24-Aug-12,2010-02-19-LajollaBank.svg
George Washington Savings Bank,Orland Park,29952,"FirstMerit Bank, N.A.",February 19 2010,19-Feb-10,24-Aug-12,2010-02-19-georgeWashingtonSavingsBank.svg
The La Coste National Bank,La Coste,3287,Community National Bank,February 19 2010,19-Feb-10,19-Aug-14,2010-02-19-LaCoste_NationalBank.svg
Marco Community Bank,Marco Island,57586,Mutual of Omaha Bank,February 19 2010,19-Feb-10,21-Mar-14,2010-02-19-Marco%20Community%20Bank.svg
Rainier Pacific Bank,Tacoma,38129,Umpqua Bank,February 26 2010,26-Feb-10,23-Aug-12,2010-02-26-rainier_pacific_bank.svg
Carson River Community Bank,Carson City,58352,Heritage Bank of Nevada,February 26 2010,26-Feb-10,15-Jan-13,2010-02-26-carsonriverCommunityBank.svg
